BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,20792,PERSONALE,3,4.1000655989714545,PA2_Manually,Manual Price Change,4.1000655989714545,100.0
DK,20798,JMU-DK,4,76.87553558221754,PA2_Manually,Manual Price Change,76.87553558221754,100.0
DK,21248689,DKR-DK,5,48.19839077425814,PA2_Manually,Manual Price Change,48.19839077425814,100.0
DK,21868,CHA-DK,1,2326.5555883220286,PA2_Manually,Manual Price Change,2326.5555883220286,100.0
DK,21871,SEC-DK,9,265.816554257388,PA2_Manually,Manual Price Change,265.816554257388,100.0
DK,21901,LAPD-DK,1,374.7223040068521,PA2_Manually,Manual Price Change,600.7094968856252,62.38
DK,21901,MIJ-DK,2,225.98719287877304,PA2_Manually,Manual Price Change,600.7094968856252,37.62
DK,21916686,B2B-DK,2,385.4328390170781,PA2_Manually,Manual Price Change,385.4328390170781,100.0
DK,21946,FRA-DK,2,89.50394710711471,PA2_Manually,Manual Price Change,89.50394710711471,100.0
DK,21961,MPE-DK,1,46.90934434139281,PA2_Manually,Manual Price Change,499.5293462948319,9.39
DK,21961,SEC-DK,2,452.6200019534391,PA2_Manually,Manual Price Change,499.5293462948319,90.61
DK,21994,B2B-DK,4,645.2655116086012,PA2_Manually,Manual Price Change,645.2655116086012,100.0
DK,22045,FGI-DK,28,1311.0493858906002,PA2_Manually,Manual Price Change,1384.7954898994333,94.67
DK,22045,SEC-DK,3,73.74610400883307,PA2_Manually,Manual Price Change,1384.7954898994333,5.33
DK,22051,FGI-DK,5,-24.119533403055996,PA2_Manually,Manual Price Change,-24.119533403055996,100.0
DK,22127,SEC-DK,20,6460.49879388965,PA2_Manually,Manual Price Change,6460.49879388965,100.0
DK,22132,PERSONALE,8,139.42366904548956,PA2_Manually,Manual Price Change,139.42366904548956,100.0
DK,22156,KMA-DK,13,136.5889375649487,PA2_Manually,Manual Price Change,136.5889375649487,100.0
DK,22157,PERSONALE,53,71.86425938039235,PA2_Manually,Manual Price Change,71.86425938039235,100.0
DK,22202126,DKR-DK,1,30.55481104261594,PA2_Manually,Manual Price Change,30.55481104261594,100.0
DK,22225289,LVE-DK,16,351.7799304903899,PA2_Manually,Manual Price Change,608.2121040101897,57.84
DK,22225289,UWH-DK,3,256.43217351979985,PA2_Manually,Manual Price Change,608.2121040101897,42.16
