BusinessUnit,CustomerNo,OrderLines,DiscountEUR,TurnoverEUR,CustomerName,CategoryCode,CategoryLabel,CatDiscountEUR,PctOfCategory
DK,76244040,46,41716.385452226656,107404.28258497802,Scanview A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,2.77
DK,70252510,46,37347.79101900881,113655.06530452073,Indoor Golf Partner ApS,MPA_CustomerAgreement,Local Profile,1504522.4548306868,2.48
DK,20000,26,27761.14105025643,40396.94024029856,Modstrøm Danmark A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,1.85
DK,70230522,58,22955.464269780776,41323.641309974,Camvision A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,1.53
DK,79420100,96,16424.063417748057,217344.34309086498,Jansson Alarm A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,1.09
DK,20047,38,16309.718762564682,179270.84574439615,Outscale ApS,MPA_CustomerAgreement,Local Profile,1504522.4548306868,1.08
DK,88700900,111,15504.637005529643,167911.9715573944,Egiss A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,1.03
DK,74123200,54,14787.113467685871,108933.47855632743,Kontor Syd A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,0.98
DK,70202999,30,13303.259214727903,11741.17991077537,AV Center Aalborg,MPA_CustomerAgreement,Local Profile,1504522.4548306868,0.88
DK,70200099,1,13066.863738738739,7490.749678249678,ABS Alarm og Sikkerhed A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,0.87
DK,79166666,28,12521.650373167595,128340.65265966595,Semco Maritime A/S,MPA_CustomerAgreement,Local Profile,1504522.4548306868,0.83
